112,91,1,0,"Memory","Memory",
113,92,0,0,"Memory;Software","Memory",
114,93,1,0,"Processor","Microarchitecture",
115,94,1,0,"Memory","Memory",
116,95,0,0,"Interconnection Network;Memory;Processor;Software","Organization",
117,96,0,0,"Interconnection Network;Memory;Processor;Software","Organization",
118,97,0,0,"Processor;Software","Microarchitecture",
119,98,1,0,"Memory;Operating System","Memory",
121,99,0,0,"Processor","Microarchitecture",
122,100,0,0,"Interconnection Network","Networks",
123,101,1,0,"Processor","Microarchitecture",
124,102,1,0,"Memory;Processor","Memory",
125,103,0,0,"Interconnection Network;Memory;Processor","Memory",
126,104,0,0,"Interconnection Network","Networks",
127,105,0,0,"Interconnection Network;Memory;Processor","Organization",
128,107,0,0,"Memory","Memory",
129,108,0,0,"Memory;Software","Memory",
130,109,0,0,"Interconnection Network;Memory","Networks",
131,110,0,0,"Interconnection Network;Memory;Processor","Organization",
132,111,1,0,"Processor","Microarchitecture",
133,112,1,0,"Memory","Memory",
134,113,1,0,"Processor","Microarchitecture",
135,114,0,0,"Interconnection Network","Networks",
136,115,1,0,"Compiler;Operating System;Processor","Microarchitecture",
137,116,1,0,"Memory;Processor;Software","Memory",
138,118,0,0,"Interconnection Network;Memory","Networks",
139,119,0,1,"Compiler;Interconnection Network;Memory;Processor;Software","Microarchitecture",
140,120,0,1,"Compiler;Memory;Processor;Software","Organization",
141,121,0,1,"Memory","Memory",
142,122,1,0,"Processor","Microarchitecture",
143,123,0,1,"Memory;Processor","Organization",
144,124,1,0,"Processor","Microarchitecture",
145,125,1,0,"Memory","Memory",
146,126,1,0,"Processor;Software","Microarchitecture",
147,127,0,1,"Interconnection Network;Memory;Processor","Organization",
148,128,1,0,"Memory;Processor","Memory",
149,129,1,0,"Memory","Memory",
150,130,0,0,"Processor","Microarchitecture",
151,154,0,0,"Memory","Memory",
152,152,0,0,"Memory;Software","Memory",
153,151,0,0,"Memory","Memory",
154,150,1,0,"Memory;Processor;Software","Memory",
155,157,0,0,"Memory","Memory",
156,158,0,0,"Operating System;Processor;Software","Coordination",
157,159,0,0,"Interconnection Network;Processor","Networks",
158,160,0,0,"Disk;Interconnection Network;Memory;Operating System;Processor;Software","Organization",
159,161,0,0,"Memory;Processor;Software","Organization",
160,162,0,0,"Processor","Coordination",
161,164,0,0,"Interconnection Network;Memory;Processor","Coordination",
162,165,0,0,"Interconnection Network","Networks",
163,166,0,0,"Memory;Operating System","Memory",
164,167,0,1,"Interconnection Network;Memory;Processor;Software","Organization",
165,207,0,1,"Memory;Processor","Microarchitecture",
166,206,0,0,"Interconnection Network;Memory;Processor","Coordination",
167,205,0,0,"Interconnection Network;Memory","Networks",
168,204,0,0,"Memory;Software","Memory",
169,203,0,1,"Memory","Memory",
171,132,0,0,"Memory","Memory",
172,133,0,0,"Memory;Processor","Microarchitecture",
173,134,0,0,"Compiler;Memory;Software","Organization",
174,135,0,0,"Compiler;Interconnection Network;Memory;Processor","Organization",
175,136,0,0,"Memory","Memory",
176,137,0,0,"Memory;Software","Memory",
177,138,0,0,"Interconnection Network","Networks",
178,139,0,1,"Interconnection Network;Memory;Processor","Organization",
180,142,0,0,"Memory;Operating System","Memory",
181,171,0,0,"Memory;Operating System","Memory",
182,168,0,0,"Memory","Memory",
183,169,0,0,"Compiler;Processor;Software","Organization",
185,172,0,1,"Memory;Processor","Microarchitecture",
186,173,0,1,"Interconnection Network;Memory;Processor","Organization",
187,174,1,0,"Processor","Microarchitecture",
188,175,0,0,"Memory","Memory",
189,176,0,0,"Interconnection Network;Memory","Memory",
190,177,0,0,"Interconnection Network","Networks",
191,178,0,0,"Interconnection Network;Memory;Processor","Coordination",
193,179,0,1,"Processor","Microarchitecture",
194,180,0,1,"Memory;Processor;Software","Microarchitecture",
195,181,1,0,"Processor;Software","Microarchitecture",
196,182,0,0,"Memory","Memory",
197,183,0,0,"Memory;Processor;Software","Memory",
198,140,1,0,"Memory;Processor","Microarchitecture",
199,141,0,0,"Memory","Memory",
200,143,0,0,"Interconnection Network","Networks",
201,144,0,1,"Interconnection Network;Memory;Processor","Organization",
202,145,0,0,"Memory","Memory",
203,146,0,0,"Processor","Coordination",
204,147,0,0,"Interconnection Network;Memory","Organization",
205,148,0,0,"Processor","Coordination",
