202,160,1,"Quantitative","Cost;Performance;Power",
204,161,1,"Quantitative","Performance",
205,162,1,"Quantitative","Energy;Performance;Power",
206,164,1,"Quantitative","Performance;Quality of Service",
207,165,1,"Quantitative","Energy;Performance",
208,166,1,"Quantitative","Cost;Performance",
209,167,1,"Quantitative","Area;Performance",
210,207,1,"Quantitative","Energy;Performance;Power",
211,206,1,"Quantitative","Performance;Quality of Service",
212,205,1,"Quantitative","Performance",
213,204,1,"Quantitative","Energy;Performance",
214,203,1,"Quantitative","Area;Energy;Performance",
216,132,1,"Quantitative","Area;Energy;Performance",
217,133,1,"Quantitative","Performance",
218,134,1,"Quantitative","Performance",
219,135,1,"Quantitative","Area;Performance;Power",
220,136,1,"Quantitative","Performance",
221,137,1,"Quantitative","Performance",
222,138,1,"Quantitative","Performance",
223,139,1,"Quantitative","Area;Power",
224,142,1,"None",,
225,171,1,"None",,
226,168,1,"Quantitative","Performance",
227,169,1,"Quantitative","Correctness;Energy;Performance",
228,172,1,"Quantitative","Performance",
229,173,1,"Quantitative","Area;Energy;Performance",
230,174,1,"Quantitative","Area;Energy;Performance",
231,175,1,"Quantitative","Performance",
232,176,1,"Quantitative","Energy;Performance",
233,177,1,"Quantitative","Area;Energy;Performance;Quality of Service",
234,178,1,"Quantitative","Cost;Performance;Power",
235,179,1,"Quantitative","Energy;Performance",
236,180,1,"Quantitative","Area;Performance",
237,181,1,"Quantitative","Performance",
238,182,1,"Quantitative","Area;Energy;Performance;Power",
239,183,1,"Quantitative","Performance",
240,140,1,"Quantitative","Area;Performance",
241,141,1,"Quantitative","Performance",
242,143,1,"Quantitative","Area;Performance",
243,144,1,"Quantitative","Area;Performance",
244,145,1,"Quantitative","Performance",
245,146,1,"Quantitative","Performance;Power;Thermal",
246,147,1,"Quantitative","Performance;Thermal",
247,148,1,"Quantitative","Performance;Power",
248,149,1,"Quantitative","Area;Performance",
249,184,1,"Quantitative","Area;Performance",
250,185,1,"Quantitative","Performance",
251,186,1,"Quantitative","Area;Performance",
252,187,1,"Quantitative","Accuracy;Area;Energy;Performance;Power",
253,188,1,"Quantitative","Area;Energy;Performance",
254,189,1,"Quantitative","Performance;Reliability",
255,190,1,"None",,
256,191,1,"Quantitative","Performance;Power",
257,192,1,"Quantitative","Performance;Quality of Service",
258,193,1,"Quantitative","Accuracy;Performance",
259,194,1,"Quantitative","Area;Performance;Power",
260,195,1,"Quantitative","Performance",
261,196,1,"Quantitative","Performance;Reliability",
262,197,1,"Quantitative","Performance",
263,198,1,"Quantitative","Area;Performance;Power",
264,199,1,"Quantitative","Performance;Power",
265,200,1,"Quantitative","Performance",
266,201,1,"Quantitative","Area;Performance;Power",
268,222,1,"None",,
269,223,1,"Quantitative","Performance",
271,224,1,"Other",,
273,225,1,"Quantitative","Performance",
275,226,1,"Quantitative","Performance",
276,227,1,"Quantitative","Performance",
